attendance,study_hours,previous_score,assignment_score,internal_score,practical_score,participation,gpa,final_score
83.3,16.0,45.9,54.1,58.2,44.0,85.6,7.38,61.5
84.3,6.7,80.0,68.5,76.1,58.2,30.3,8.7,75.4
81.3,12.3,86.8,60.7,63.0,60.9,51.8,8.25,72.0
61.0,7.3,69.3,54.4,73.2,49.5,46.2,7.81,65.1
50.3,8.3,40.6,29.2,43.7,54.3,36.7,5.87,39.7
78.7,16.9,80.6,54.6,88.9,58.1,47.6,8.52,68.8
72.3,8.8,45.1,42.2,41.6,29.2,53.5,6.56,46.4
83.5,12.8,74.6,59.8,64.3,57.4,60.6,8.53,62.0
86.4,3.5,56.7,67.3,46.6,49.9,70.1,6.98,59.6
79.7,18.4,52.6,62.8,67.2,67.9,65.8,7.33,64.4
87.1,13.4,63.4,56.3,69.1,66.4,78.5,8.15,64.3
80.8,10.3,67.3,62.6,61.9,70.5,38.4,8.4,66.6
84.4,13.3,60.3,44.1,57.0,42.4,48.5,7.38,53.5
69.5,5.4,78.8,62.8,53.2,67.7,50.3,8.39,65.4
75.8,15.7,63.3,65.4,66.6,59.4,76.5,7.84,64.7
80.4,9.7,84.7,83.0,70.0,73.1,41.2,9.47,78.6
87.8,10.2,74.2,64.4,65.4,50.0,58.2,7.73,65.0
73.3,9.0,59.5,68.9,72.9,52.3,31.3,7.15,63.8
84.3,8.7,57.0,45.7,60.0,55.3,51.2,8.84,59.1
74.8,13.8,45.3,38.6,67.5,63.4,69.3,6.81,61.1
76.6,12.0,74.4,74.8,65.0,47.4,50.5,7.41,67.3
88.0,13.6,64.7,83.1,71.8,63.3,60.8,7.7,63.0
54.1,11.0,34.4,42.8,41.7,28.6,29.4,4.95,46.2
62.4,13.1,62.0,55.5,44.9,61.1,43.2,7.65,56.4
60.2,9.3,56.5,30.2,66.6,56.4,66.7,7.63,57.2
50.0,19.9,93.6,48.8,76.5,88.9,59.3,8.4,75.9
69.9,4.7,44.5,50.2,53.7,34.3,26.9,6.63,43.0
87.0,16.0,48.4,53.5,56.4,67.7,63.9,7.64,57.9
74.6,16.5,86.6,62.7,77.4,87.3,42.4,8.01,77.8
80.4,7.6,90.4,78.5,67.6,49.4,36.6,8.44,68.1
91.1,19.9,58.8,65.4,83.8,74.7,94.5,7.64,80.1
93.9,15.0,60.5,75.6,73.2,73.6,67.4,7.51,71.4
77.2,14.9,79.2,72.0,78.0,66.4,86.1,8.36,79.6
94.2,11.1,35.1,64.6,66.9,35.9,61.2,6.14,60.1
79.1,10.1,42.1,50.9,63.3,56.3,53.4,6.94,56.8
68.0,10.2,65.8,58.8,68.3,43.4,57.2,7.71,58.5
70.9,12.6,93.2,86.7,65.1,69.4,20.0,9.29,74.3
60.2,16.6,63.5,46.2,56.8,60.1,59.7,7.67,65.7
67.3,11.7,71.5,91.0,56.3,66.9,50.8,8.12,67.0
73.7,7.4,87.0,77.4,78.0,56.5,65.7,8.15,73.4
87.6,14.3,100.0,89.5,89.3,72.8,77.7,9.77,86.0
98.6,14.7,61.3,73.5,59.5,65.9,56.1,7.8,70.5
61.4,13.6,69.7,78.6,62.5,70.1,68.3,7.8,75.4
82.7,14.0,97.3,90.4,71.2,100.0,59.0,9.84,89.0
65.5,9.9,47.2,32.8,50.7,31.2,35.6,6.58,46.9
83.7,7.3,85.4,90.3,58.7,67.1,53.3,9.46,73.1
76.4,7.5,54.7,53.4,61.1,38.1,45.3,8.03,51.6
56.0,4.5,71.5,60.0,59.5,58.9,53.2,8.23,55.9
89.1,11.9,66.4,54.9,86.7,52.6,66.0,7.61,69.9
70.7,10.7,55.6,60.6,65.2,45.2,53.7,6.37,62.3
71.6,9.2,55.3,48.9,52.7,44.4,60.6,7.83,58.3
65.2,2.0,74.1,64.6,65.6,48.0,47.1,8.17,52.5
70.1,6.0,84.9,68.4,55.7,62.7,52.6,8.33,69.2
83.1,15.5,68.1,85.8,62.7,70.7,83.7,8.59,73.0
75.7,8.3,71.1,85.4,67.9,57.1,57.0,7.72,62.1
81.9,12.4,78.6,72.4,54.4,53.4,61.5,8.33,75.1
82.3,5.4,55.4,59.9,56.4,55.2,63.0,7.72,65.0
93.8,16.8,81.1,73.7,72.9,74.8,71.2,8.27,79.7
73.9,10.4,82.3,82.2,72.6,75.9,52.4,8.54,75.8
60.3,12.2,100.0,72.8,68.1,64.6,71.4,9.71,77.1
90.8,20.3,64.4,63.0,79.5,55.5,98.5,8.08,81.7
74.0,17.1,63.1,70.4,67.6,63.4,63.9,8.29,71.8
91.4,9.8,81.5,71.4,88.6,79.7,52.8,9.28,69.4
82.6,8.6,82.3,73.8,72.9,65.5,71.7,8.7,81.9
76.4,9.7,62.0,45.0,54.8,52.8,62.3,6.65,62.8
82.2,13.0,64.0,71.0,64.8,52.2,64.6,7.37,63.7
100.0,10.6,78.1,97.4,65.4,85.4,59.9,9.06,73.4
100.0,9.4,57.6,73.9,70.0,46.9,66.3,7.09,69.3
78.8,16.9,63.8,77.3,74.4,57.5,65.6,7.67,69.1
79.9,10.5,71.3,58.8,90.3,66.4,46.3,8.32,70.2
90.9,20.2,84.9,80.9,80.3,62.1,78.9,9.57,86.1
67.9,11.4,60.9,47.8,57.5,67.4,54.4,7.3,55.4
82.0,18.1,42.4,49.7,55.1,63.5,64.7,6.6,54.2
77.7,12.4,41.3,57.6,55.8,58.0,69.1,6.76,58.9
81.8,14.9,51.1,57.7,65.4,62.8,80.3,7.44,61.1
68.0,8.1,50.3,37.3,51.6,44.3,57.8,7.01,50.6
58.9,7.6,67.7,44.7,67.4,40.7,36.6,8.22,47.8
53.1,12.8,52.2,33.5,46.7,48.1,56.8,6.63,47.7
64.6,15.0,59.5,60.2,69.9,47.9,57.0,7.5,65.0
72.5,11.2,58.4,78.1,64.7,59.0,36.6,7.7,65.5
74.5,5.9,63.4,74.6,58.6,58.5,52.8,7.57,56.7
100.0,5.6,89.8,65.5,76.5,81.9,56.9,9.62,69.4
91.3,5.3,79.9,90.1,93.4,64.3,84.3,8.76,77.0
66.5,3.9,70.2,71.3,50.8,58.9,55.9,8.31,61.5
82.2,11.4,63.1,48.0,68.0,55.6,66.8,7.91,64.8
73.1,15.5,63.5,57.5,59.3,57.0,64.0,7.9,61.0
74.6,10.9,74.9,78.3,84.7,66.5,55.4,7.98,72.7
80.2,2.0,78.8,76.9,73.0,50.0,26.7,8.22,71.5
85.4,10.2,56.4,47.8,55.9,57.4,34.3,8.11,59.0
73.9,10.3,70.5,70.8,70.3,48.3,40.6,8.35,56.3
90.8,19.4,39.5,32.1,64.8,50.4,75.1,6.41,60.5
64.3,5.2,73.2,60.5,55.4,58.3,20.0,8.15,67.0
78.1,9.4,81.4,83.5,78.5,72.5,45.0,7.53,65.9
100.0,17.8,65.8,71.4,80.7,61.1,73.9,7.9,76.2
80.7,12.8,97.2,76.7,85.0,82.0,56.5,9.78,79.1
95.2,13.3,56.8,73.4,67.2,55.2,58.1,7.64,68.2
79.1,11.5,73.3,77.7,73.4,62.7,51.8,8.3,70.8
85.0,12.3,69.5,81.0,72.1,77.2,82.8,6.79,78.7
77.3,14.1,68.5,73.5,69.3,71.3,68.8,7.83,70.3
76.0,7.8,68.3,75.0,57.4,63.2,40.9,8.14,69.3
68.6,14.5,71.6,70.7,83.3,82.5,56.1,8.26,70.6
83.2,5.5,82.7,77.3,61.3,53.4,47.0,9.15,65.5
67.8,12.3,90.7,74.5,79.4,59.3,42.7,8.8,68.8
86.0,11.7,70.0,66.2,67.3,55.5,49.8,8.11,58.0
91.0,8.5,82.2,65.0,91.1,62.9,69.5,8.19,75.4
82.4,10.9,59.5,52.0,55.1,32.8,51.3,7.57,68.0
74.6,8.5,81.5,68.1,63.3,59.7,34.6,7.99,67.7
83.4,6.7,58.6,63.8,51.0,45.7,49.1,6.81,60.9
74.3,9.6,86.4,87.9,76.0,73.1,52.2,8.29,71.8
89.2,6.6,100.0,85.8,69.7,74.3,26.4,10.0,75.1
56.0,12.3,68.2,67.1,56.4,50.6,46.8,7.62,64.4
74.0,6.4,37.1,57.1,26.5,45.1,56.1,6.66,56.3
54.1,13.8,61.8,50.6,60.4,62.5,55.1,7.2,65.2
60.1,6.3,88.5,75.6,62.8,51.7,67.3,7.9,69.3
94.4,8.7,78.3,73.7,61.1,59.7,74.5,9.08,71.3
88.7,8.5,73.7,84.8,80.1,38.9,74.1,7.41,72.1
69.4,16.3,85.1,77.5,64.6,60.8,97.0,8.41,70.5
60.0,12.3,77.3,51.6,73.7,54.1,59.0,8.17,56.3
42.4,10.2,88.3,65.0,58.7,61.1,39.5,8.58,55.9
71.5,13.0,83.8,87.6,88.1,58.1,68.2,8.3,76.0
100.0,2.6,92.8,84.2,85.2,59.7,42.4,8.55,74.2
83.2,10.8,75.4,75.1,62.2,51.3,58.3,8.03,60.8
71.3,19.0,83.6,76.4,70.1,76.4,57.8,8.28,75.3
83.6,11.5,65.4,54.9,72.4,64.2,63.5,7.6,64.1
59.3,11.3,61.0,59.4,54.9,56.8,38.5,7.89,50.7
74.4,13.2,95.6,64.7,79.2,73.9,48.3,8.65,73.1
79.2,14.6,73.2,61.7,83.5,50.9,67.3,8.38,68.7
77.0,3.0,82.1,82.8,59.8,49.7,38.3,8.69,61.3
87.5,4.3,71.9,73.7,66.4,50.9,22.0,8.72,68.0
82.1,11.8,61.2,59.4,73.3,54.1,39.4,7.68,53.9
86.0,8.1,70.2,73.2,74.7,59.3,38.4,8.55,57.3
69.7,16.2,91.5,74.2,78.3,88.9,49.2,8.88,77.3
88.8,9.7,78.3,74.3,71.0,72.8,62.9,8.79,73.0
97.5,3.3,44.3,65.1,38.4,33.5,52.6,6.49,54.3
66.4,5.9,66.8,52.7,48.5,57.2,54.4,6.61,52.3
67.3,2.0,96.7,77.2,73.0,65.8,43.7,9.33,63.8
94.0,10.1,66.8,66.5,68.4,52.9,74.4,8.33,68.2
75.7,10.2,43.0,34.3,53.1,55.3,60.4,7.06,49.2
94.8,9.3,98.4,78.1,94.4,72.8,62.2,9.33,89.9
72.7,15.3,80.2,85.3,63.5,54.9,74.6,9.15,71.2
95.5,15.8,68.9,75.2,73.6,73.6,83.3,8.04,75.7
79.6,10.3,64.4,50.1,66.0,59.5,59.3,8.04,74.4
81.1,2.5,86.2,60.4,63.1,55.7,57.4,9.12,63.6
96.8,13.5,61.9,66.8,83.6,63.0,37.3,8.72,73.3
73.7,13.2,87.2,89.4,84.5,62.7,53.2,8.67,79.8
66.7,12.2,78.1,64.5,71.5,69.3,48.1,8.02,70.8
72.6,14.9,73.7,79.0,86.7,65.2,74.5,7.51,75.1
83.4,6.3,72.2,72.4,52.7,58.4,69.4,8.95,65.7
59.2,19.0,67.4,62.5,66.6,68.6,42.1,7.93,65.9
85.6,7.2,85.7,63.7,77.6,52.7,69.8,9.09,67.7
71.5,14.0,57.0,65.8,52.9,47.8,42.2,8.83,61.3
91.8,4.3,45.7,53.9,56.5,21.9,34.1,7.3,61.5
49.3,7.3,79.2,69.4,50.3,59.9,32.2,7.57,63.8
68.6,17.1,79.5,59.6,80.2,57.8,57.4,8.31,72.0
57.8,10.0,77.2,64.4,73.4,59.6,23.7,7.73,66.6
68.1,14.4,76.1,69.2,72.4,68.8,64.9,8.06,65.3
81.0,11.9,65.2,62.7,49.8,65.9,66.8,7.72,62.4
75.8,10.6,81.8,75.6,63.4,52.6,66.9,8.33,73.8
75.0,16.5,69.3,61.7,75.4,65.3,57.7,7.39,76.3
76.1,10.1,62.7,54.6,62.4,72.2,51.8,8.45,57.9
80.4,3.9,65.3,80.1,35.6,67.3,42.8,8.04,56.7
65.9,7.8,100.0,88.6,87.2,77.4,65.6,9.19,88.5
86.5,13.2,44.0,46.8,59.7,56.3,25.8,7.36,56.9
86.0,12.6,77.5,78.4,67.2,57.1,48.9,8.73,80.5
82.6,4.7,44.8,46.1,59.9,49.6,45.8,7.13,52.8
84.7,8.1,68.4,55.4,60.0,55.8,38.6,8.4,62.7
81.6,8.7,63.5,73.8,57.0,60.9,49.0,7.9,61.6
100.0,9.5,38.7,39.3,60.2,42.5,60.5,7.24,59.9
77.0,5.5,75.8,77.9,81.4,54.4,36.0,8.67,73.5
74.3,8.5,64.3,58.8,75.8,55.6,49.6,7.86,56.8
69.0,8.1,38.5,43.2,49.6,43.3,53.8,6.46,45.6
65.6,14.1,82.6,72.5,76.4,72.1,51.8,9.19,76.2
63.1,14.2,91.5,78.2,83.2,65.1,48.1,8.66,73.7
67.3,10.4,92.4,66.1,63.4,54.1,46.9,9.14,65.4
77.2,9.4,75.4,75.6,74.2,76.9,51.6,8.5,74.9
82.0,11.6,70.7,68.7,62.6,87.0,35.1,7.89,73.4
78.6,7.7,89.9,64.4,77.6,69.9,55.3,8.63,69.0
68.8,6.4,95.2,74.8,71.3,51.1,36.6,8.95,69.4
88.8,7.2,87.0,92.7,80.4,57.9,69.4,8.76,70.5
86.9,8.5,55.9,77.9,61.8,57.8,62.0,6.9,59.1
76.1,6.3,73.0,74.0,36.8,69.1,60.9,7.91,62.3
70.2,11.6,76.6,54.8,70.3,50.3,39.4,8.41,63.8
84.6,13.9,42.9,58.1,63.7,51.7,58.3,7.51,54.8
80.3,4.7,77.0,79.0,70.3,58.3,28.3,8.68,62.1
60.6,11.1,100.0,83.5,76.1,79.1,38.1,8.06,69.2
77.2,10.1,79.6,78.6,85.8,60.0,69.2,8.8,75.2
81.1,12.4,92.1,82.7,83.1,56.9,78.1,8.87,68.5
67.2,10.9,72.7,62.8,69.2,65.5,35.0,8.28,58.8
80.3,5.2,68.9,59.9,72.1,64.5,39.5,8.06,53.0
60.5,6.0,75.7,43.9,64.0,52.5,37.0,8.05,58.3
94.0,11.1,57.8,68.1,57.9,62.2,69.9,7.68,56.7
93.0,15.1,55.5,65.0,45.8,57.0,46.2,7.61,63.4
75.0,2.1,89.0,80.8,64.4,49.2,20.0,9.51,73.1
82.4,12.4,90.6,65.3,86.8,82.4,65.7,9.06,85.9
49.1,15.8,55.1,54.0,51.7,57.4,25.1,7.56,44.7
64.1,10.4,84.5,89.5,77.0,68.2,41.7,9.0,73.2
74.5,13.2,68.7,64.6,68.6,76.7,59.4,8.29,62.7
65.1,8.2,75.1,63.5,75.2,46.1,49.5,7.36,56.5
86.6,10.5,76.9,75.7,70.2,59.0,56.1,9.0,70.3
100.0,4.5,84.9,100.0,80.3,65.2,48.4,8.82,83.4
63.9,2.0,71.2,51.3,60.9,41.6,43.3,8.29,56.8
68.0,14.8,91.2,75.9,91.3,80.2,60.9,8.48,74.4
80.8,7.1,74.6,61.3,51.9,56.4,40.7,7.8,65.0
97.3,9.2,79.4,72.2,72.1,56.3,60.8,9.63,61.5
63.3,5.5,57.5,53.3,59.8,45.7,43.3,6.92,48.5
81.0,5.4,100.0,96.8,92.5,69.3,68.4,9.99,76.7
99.9,10.3,77.0,95.3,78.9,76.4,73.7,8.72,80.0
58.2,8.1,80.7,69.2,61.6,61.6,56.5,8.14,62.2
62.6,12.5,45.9,43.4,58.6,52.8,42.8,6.8,51.2
72.9,12.8,57.7,82.2,68.8,59.1,49.1,6.88,63.9
71.8,12.3,88.6,69.6,72.4,67.1,51.3,8.84,71.8
87.8,12.0,74.3,65.9,76.0,58.2,59.1,7.91,73.1
80.9,17.3,41.3,33.3,69.4,58.4,54.5,6.65,58.3
56.7,6.7,85.6,80.9,82.2,54.6,54.1,8.95,66.2
84.2,10.8,61.8,73.2,71.5,74.5,68.8,7.91,70.4
71.1,15.5,91.2,99.2,79.7,87.3,56.0,8.29,85.2
93.3,16.1,68.7,56.5,74.7,75.2,79.2,8.59,70.3
70.5,5.3,73.1,79.4,66.9,57.1,44.2,8.13,63.2
70.4,9.8,87.7,73.6,71.7,64.4,58.6,8.55,76.3
84.5,16.4,56.5,68.7,68.5,49.4,50.1,7.89,60.5
87.2,13.0,55.1,44.3,54.6,55.7,60.8,7.45,68.7
83.4,11.8,67.1,80.7,79.6,62.0,58.0,7.49,63.9
57.8,10.1,82.4,73.4,56.4,63.1,52.3,9.23,63.1
84.5,9.5,50.0,56.7,54.0,55.5,46.9,7.26,52.4
65.6,12.2,45.0,54.1,52.8,57.2,20.0,6.77,63.0
80.8,10.0,82.4,65.9,91.3,58.3,40.3,8.49,68.9
60.9,10.8,61.0,49.1,53.6,45.8,46.1,8.0,52.0
83.4,11.3,64.1,59.8,60.1,73.6,58.7,7.65,62.9
68.3,8.3,42.1,28.6,43.2,50.3,67.6,6.02,46.7
62.6,13.1,59.8,63.4,74.1,51.3,59.4,7.14,59.9
86.6,22.7,69.9,80.7,53.7,74.9,80.8,8.78,75.8
80.9,3.9,84.0,67.5,60.3,57.6,43.0,9.12,47.2
70.6,12.3,58.4,60.3,84.8,55.5,68.3,7.36,64.4
95.4,8.0,94.9,82.9,87.7,76.0,49.6,10.0,80.5
72.7,13.3,59.7,61.6,52.4,82.7,54.9,7.9,67.8
78.4,11.2,59.8,54.0,62.0,57.9,41.2,7.51,66.5
81.2,14.0,93.1,70.8,82.7,81.6,80.3,9.09,78.8
70.6,15.7,73.2,75.5,77.9,49.0,65.1,8.29,74.4
83.7,11.8,61.7,62.6,81.9,53.8,49.6,7.41,60.3
71.6,15.5,67.7,82.5,71.2,75.7,58.7,7.91,74.8
73.1,2.0,90.3,75.7,63.8,61.7,43.1,9.08,63.1
94.4,17.4,92.0,74.4,95.3,37.2,70.5,8.51,75.7
65.5,12.5,57.7,67.0,52.2,60.8,45.0,7.3,57.9
49.0,15.3,69.4,61.6,52.3,78.6,41.1,7.57,67.6
97.3,6.1,71.4,80.6,53.9,39.0,59.2,8.84,67.1
100.0,7.7,55.2,77.3,49.7,69.2,54.2,6.85,71.6
73.1,11.6,69.2,57.1,57.7,31.9,47.9,7.82,56.0
54.8,10.9,70.1,56.4,49.6,65.0,26.9,7.59,61.8
74.3,12.1,87.1,72.2,78.4,68.5,56.3,9.24,70.2
74.6,15.3,88.1,61.7,67.9,49.5,58.8,8.84,72.0
75.7,3.9,65.1,59.7,30.1,53.6,37.0,8.64,54.3
64.6,14.9,66.8,72.7,55.3,72.4,58.5,8.08,68.5
85.0,11.0,80.0,76.1,70.0,69.9,67.8,8.43,74.2
84.3,10.2,61.2,49.7,58.6,62.5,65.4,7.87,57.8
60.1,5.1,78.8,48.8,75.2,49.5,43.4,8.11,63.2
86.4,13.0,68.7,84.7,65.1,45.2,59.2,8.51,78.4
100.0,2.0,55.5,64.6,67.3,54.3,41.2,7.1,57.1
80.1,13.6,55.6,52.2,62.5,74.9,46.9,7.09,52.7
74.0,5.0,91.7,73.6,71.7,73.4,34.6,9.22,71.9
76.3,11.2,67.7,49.1,58.2,39.3,54.8,8.51,58.1
85.4,10.5,94.6,96.1,80.8,57.1,47.1,8.29,78.0
57.2,15.7,62.3,50.4,54.0,49.8,55.2,8.11,60.5
80.0,10.3,74.4,82.6,70.9,45.9,42.0,8.24,65.9
73.3,8.2,100.0,81.2,76.4,70.0,26.2,8.53,72.5
100.0,9.0,54.1,79.1,55.7,59.1,71.8,6.29,65.0
75.9,16.1,41.5,52.0,65.3,38.9,57.0,6.09,64.1
98.0,13.1,89.3,92.0,88.4,83.3,56.9,9.19,84.5
64.8,9.5,57.6,61.5,51.8,56.2,31.9,7.34,49.0
85.0,10.1,69.7,74.3,69.7,55.0,61.9,8.44,62.2
81.8,4.7,61.2,65.8,58.2,47.9,63.2,7.49,59.8
67.6,12.6,74.0,62.0,59.5,42.4,47.8,7.64,56.5
80.1,4.0,55.7,77.9,55.7,42.5,40.4,7.28,49.1
92.6,14.0,67.3,60.3,67.0,65.7,80.8,8.15,73.4
74.1,11.5,76.7,68.2,61.3,64.9,30.5,8.45,69.2
57.7,20.5,54.9,50.5,46.6,64.7,88.5,6.81,58.1
77.8,6.6,59.5,64.0,55.1,52.7,78.7,8.02,61.1
67.2,10.6,64.8,54.8,66.1,52.7,20.0,7.44,59.0
73.9,18.2,48.6,55.7,54.8,61.3,64.7,6.68,63.6
77.0,15.8,63.7,60.3,90.2,73.0,53.7,7.54,72.8
57.5,8.2,71.8,43.8,67.7,52.7,37.2,8.4,43.5
58.6,11.9,64.0,55.8,70.8,58.0,42.3,7.52,58.2
83.8,11.0,65.9,54.6,74.1,57.8,68.1,7.66,68.1
71.7,12.1,69.7,46.1,82.7,53.8,52.6,8.41,61.9
47.2,8.2,60.2,51.0,43.7,51.6,24.2,8.24,49.0
87.4,10.6,80.4,79.7,51.9,60.9,56.3,8.76,73.8
81.3,4.6,91.5,84.1,69.8,66.8,51.6,9.65,72.6
69.4,11.5,63.0,64.6,66.6,56.4,36.6,8.14,69.0
62.2,12.8,77.3,44.9,68.9,59.5,29.6,7.95,67.1
88.0,10.1,66.4,53.7,70.2,56.3,83.7,8.06,65.4
82.2,4.5,75.5,90.0,77.9,50.8,36.8,7.81,66.9
100.0,15.0,93.5,75.9,92.1,63.6,70.1,9.31,69.6
83.0,12.5,77.6,77.9,80.9,70.3,54.6,8.21,72.2
82.7,8.1,43.4,45.9,44.5,48.1,58.9,6.76,44.7
76.0,9.9,76.8,69.6,59.2,70.1,75.0,8.03,68.9
87.8,5.0,88.5,73.1,89.1,58.1,56.0,8.91,74.0
85.5,6.9,66.7,72.2,65.4,74.3,31.2,8.27,68.4
93.0,8.8,84.9,80.6,71.8,63.6,39.8,8.88,80.6
71.7,15.9,59.6,53.4,58.5,51.5,55.7,6.71,60.5
72.8,8.4,47.7,41.2,46.6,36.2,44.5,6.68,60.2
72.3,13.6,72.1,67.6,62.2,45.8,34.5,7.43,65.0
87.5,8.8,43.7,42.5,43.6,63.1,65.9,7.12,47.2
96.0,12.0,66.4,74.4,58.1,77.2,50.7,8.37,67.1
72.5,10.4,89.3,100.0,73.0,73.2,70.8,9.0,75.4
72.9,14.5,41.4,61.8,48.8,41.6,82.6,6.38,59.0
81.8,8.9,50.8,63.7,67.0,68.0,49.5,7.38,55.9
75.1,4.7,54.5,55.4,56.2,41.7,48.0,7.14,51.6
89.4,5.5,69.1,49.9,68.1,52.8,34.1,7.67,60.0
51.0,8.9,64.5,40.1,48.0,64.2,47.0,7.85,49.6
68.1,6.0,91.0,86.7,69.6,68.4,35.0,9.28,74.0
68.6,12.6,84.3,62.5,76.1,88.8,39.5,9.04,74.2
50.2,9.1,77.4,53.1,67.5,58.3,35.3,7.81,64.4
66.4,20.5,72.2,61.3,71.6,66.4,60.7,8.58,68.4
67.0,4.0,75.9,54.6,71.0,46.3,33.2,8.0,64.3
75.6,11.8,57.1,45.6,60.7,36.5,67.6,7.77,50.6
91.4,6.5,82.9,77.0,81.2,60.6,42.6,8.59,65.2
75.1,9.0,53.3,46.7,52.0,61.3,72.6,7.2,49.9
65.6,11.6,82.5,61.0,53.9,70.1,33.1,7.41,63.9
77.3,2.0,87.8,67.5,71.1,57.6,59.4,8.74,72.3
90.6,11.9,73.2,77.2,79.8,55.4,49.1,8.42,69.2
66.3,18.6,67.4,57.9,73.6,68.2,63.3,7.64,65.3
67.1,9.2,76.0,63.5,69.3,68.8,40.3,9.02,63.5
84.7,12.0,27.1,50.5,45.4,47.9,55.3,5.71,53.1
75.3,15.1,74.5,65.9,64.7,68.4,71.5,8.0,67.3
85.8,10.3,68.3,64.8,73.1,52.3,76.7,7.7,64.8
77.8,8.7,69.2,70.0,68.8,65.8,66.1,7.8,59.5
86.4,2.0,80.6,81.3,62.8,24.6,37.2,9.13,60.6
65.6,13.6,68.9,59.4,74.9,64.2,56.3,8.55,71.2
77.9,10.5,52.9,57.1,50.3,77.7,43.9,7.0,58.8
75.5,6.9,67.9,55.9,56.9,38.9,33.6,7.63,53.2
63.4,11.5,71.0,52.6,78.5,56.0,34.3,7.44,67.9
59.2,8.7,71.7,67.9,68.4,54.4,36.6,8.53,58.0
86.2,8.9,72.4,74.5,66.0,55.9,58.0,8.8,75.0
73.8,13.4,85.6,77.5,78.3,79.7,32.5,8.69,81.0
65.7,5.6,53.7,55.4,52.5,48.8,39.1,6.58,51.4
76.8,15.2,72.6,67.3,46.8,67.8,81.6,7.6,60.1
91.5,5.4,89.3,88.1,68.3,73.0,65.5,9.2,86.8
50.6,8.3,44.0,51.3,43.4,40.1,30.2,6.83,46.5
60.0,18.7,72.7,70.1,66.1,98.9,42.5,7.06,68.3
66.9,15.5,61.2,56.1,65.3,61.1,64.0,7.41,67.5
95.5,11.4,64.4,82.7,80.2,63.7,33.4,8.77,75.1
81.4,7.2,56.4,61.8,55.5,33.3,64.1,7.42,63.6
87.2,8.9,67.5,73.9,57.5,53.0,52.5,8.75,61.8
64.3,11.3,97.6,79.0,80.1,81.8,73.1,9.46,78.6
64.6,11.2,51.0,53.1,50.9,35.9,26.7,6.58,45.0
83.4,10.6,52.5,50.7,58.3,31.5,68.6,7.23,60.3
78.7,10.9,50.5,62.3,54.9,51.8,53.7,7.16,57.8
84.6,10.1,95.9,100.0,100.0,86.0,52.0,8.9,86.1
75.7,5.2,63.1,57.4,38.3,50.2,25.7,7.31,52.2
81.3,8.9,69.6,67.5,62.9,55.0,60.4,8.79,63.7
79.9,14.7,64.0,58.7,67.6,43.8,71.1,7.4,60.6
87.3,5.5,55.8,56.4,51.5,53.7,72.5,8.05,62.0
87.7,10.2,66.5,82.7,75.8,66.4,71.0,7.85,78.7
58.6,7.7,100.0,68.8,81.1,48.2,32.5,9.19,65.7
51.0,11.4,90.9,63.1,69.5,76.2,30.5,8.95,69.2
90.0,9.4,57.2,47.1,60.7,62.7,39.7,7.39,61.8
92.3,16.9,79.7,68.6,80.1,85.9,91.1,8.95,80.2
65.8,13.0,57.5,37.6,58.0,60.5,42.9,6.46,47.5
55.7,5.8,43.4,49.7,42.3,44.1,54.7,6.82,38.6
79.2,13.7,85.3,100.0,75.7,75.8,67.1,7.68,75.3
89.2,7.9,87.4,75.6,79.0,75.3,58.6,8.9,64.5
99.6,8.7,85.7,65.3,86.4,50.7,56.5,9.44,81.7
84.2,12.3,63.0,73.1,55.5,44.9,68.5,8.12,66.7
73.5,9.0,67.5,55.6,53.6,48.6,49.2,7.34,58.4
67.3,14.6,81.2,81.2,56.7,66.2,51.7,7.94,58.6
78.1,7.9,75.9,66.3,75.5,63.1,58.4,8.04,58.2
74.4,8.5,64.1,55.0,63.4,57.2,47.0,7.86,59.6
65.8,8.4,45.7,46.4,53.8,55.0,34.3,5.93,59.4
100.0,8.7,71.7,82.0,60.0,74.2,68.5,8.42,68.9
99.4,15.4,86.2,79.9,100.0,68.4,71.6,9.21,88.7
91.6,13.5,52.0,55.7,58.8,60.3,71.9,7.31,60.8
66.9,17.8,79.6,65.2,75.7,62.1,56.3,8.62,71.5
88.3,20.1,75.0,59.4,87.7,73.6,60.1,8.53,83.0
85.7,6.9,81.3,78.6,62.9,65.2,73.5,8.44,68.8
83.3,11.3,83.1,57.0,70.6,33.5,77.9,7.87,64.7
93.0,6.3,59.6,60.9,64.3,77.1,64.7,7.86,71.3
85.6,7.9,45.7,62.7,80.6,52.8,47.7,6.66,60.0
86.9,8.5,62.0,67.5,66.6,49.5,50.5,7.57,68.6
85.6,6.8,83.3,81.7,87.2,82.0,68.7,8.99,72.7
82.1,6.8,61.9,62.1,71.8,48.9,44.6,8.41,68.2
56.6,10.4,59.6,64.3,58.4,52.0,36.0,7.34,57.3
79.0,6.1,42.7,60.4,41.0,37.5,70.9,7.12,53.3
71.3,14.4,96.3,82.4,90.6,91.4,57.3,8.54,81.9
62.6,7.3,82.4,76.5,52.4,57.3,64.4,8.57,61.5
98.2,22.2,81.5,86.7,100.0,84.5,66.0,8.82,88.5
98.7,9.2,84.5,76.7,81.0,80.9,67.7,9.54,76.2
94.3,11.3,78.7,62.8,52.8,73.7,89.7,8.43,76.2
81.1,5.8,66.3,69.1,59.1,52.5,47.3,7.85,60.1
